Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Djamal, E.C., Lodaya, P.","56204479000; 57201449183","Eeg based emotion monitoring using wavelet and learning vector quantization",2017,"International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)",4,"",,98,103,,2,10.11591/eecsi.4.1053,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044850976&partnerID=40&md5=39edd07275d2c74a2002292a3bccaad9",Conference Paper,Final,,Scopus,2-s2.0-85044850976
"Cui, Y.-H., Song, W., Wang, Z.-B., Shi, C.-L., Cheng, F.-Q.","57199446766; 57054622900; 57196459681; 57194693748; 35730899700","Privacy Preserving Cluster Mining Method Based on Lattice",2017,"Ruan Jian Xue Bao/Journal of Software",28,"9",,2293,2308,,1,10.13328/j.cnki.jos.005183,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85033399044&partnerID=40&md5=e76d203c9e1fee3fd6f949d9f80c5d16",Article,Final,,Scopus,2-s2.0-85033399044
"Chadalawada, J., Havlicek, V., Babovic, V.","55574997700; 57196814830; 6701799430","A Genetic Programming Approach to System Identification of Rainfall-Runoff Models",2017,"Water Resources Management",31,"12",,3975,3992,,8,10.1007/s11269-017-1719-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85021845733&partnerID=40&md5=4a315d8d494b080965b73eaf58cd0d92",Article,Final,,Scopus,2-s2.0-85021845733
"Tang, Z., Fu, Z., Gong, Z., Li, K., Li, K.","7403306139; 57194715179; 57194725895; 7404988992; 7404989623","A Parallel Conditional Random Fields Model Based on Spark Computing Environment",2017,"Journal of Grid Computing",15,"3",,323,342,,3,10.1007/s10723-017-9404-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85021809516&partnerID=40&md5=65f1d79a664086024e78ee912118f1a0",Article,Final,,Scopus,2-s2.0-85021809516
"Gupta, M., Mittal, H., Singla, P., Bagchi, A.","57199379745; 56192900100; 10244352500; 14422103900","Analysis and characterization of comparison shopping behavior in the mobile handset domain",2017,"Electronic Commerce Research",17,"3",,521,551,,1,10.1007/s10660-016-9226-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84969786253&partnerID=40&md5=8178c11f4cf04210246173f9293024c3",Article,Final,,Scopus,2-s2.0-84969786253
"Miao, X.-C., Wang, R., Xu, L., Zhang, W.-F., Xu, B.-W.","57196457087; 35293872400; 57188583559; 55706460700; 7404589262","Security Analysis for Android Applications Using Sensitive Path Identification",2017,"Ruan Jian Xue Bao/Journal of Software",28,"9",,2248,2263,,2,10.13328/j.cnki.jos.005177,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85033385185&partnerID=40&md5=595931c3586105617a7e86e7798f0178",Article,Final,,Scopus,2-s2.0-85033385185
"Wang, Y., Wen, L., Yan, Z.","56286426500; 14030649200; 55339530100","Alignment Based Conformance Checking Algorithm for BPMN 2.0 Model",2017,"Jisuanji Yanjiu yu Fazhan/Computer Research and Development",54,"9",,1920,1930,,1,10.7544/issn1000-1239.2017.20160756,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85032805906&partnerID=40&md5=270235df4bc006824aafb6ccdcda0ed3",Article,Final,,Scopus,2-s2.0-85032805906
"Preiswerk, F., Toews, M., Cheng, C.-C., Chiou, J.-Y.G., Mei, C.-S., Schaefer, L.F., Hoge, W.S., Schwartz, B.M., Panych, L.P., Madore, B.","24438163000; 13905130400; 57203538188; 56967671800; 36570720300; 57190137144; 6701692862; 57197598022; 7004660242; 7004885931","Hybrid MRI-Ultrasound acquisitions, and scannerless real-time imaging",2017,"Magnetic Resonance in Medicine",78,"3",,897,908,,7,10.1002/mrm.26467,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84992449636&partnerID=40&md5=d718c3d306059c3282cbdc84d8b53b66",Article,Final,,Scopus,2-s2.0-84992449636
"Caldas, R., Mundt, M., Potthast, W., Buarque de Lima Neto, F., Markert, B.","57193502496; 57193704703; 23035844800; 21742253600; 55034343900","A systematic review of gait analysis methods based on inertial sensors and adaptive algorithms",2017,"Gait and Posture",57,"",,204,210,,34,10.1016/j.gaitpost.2017.06.019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85021304346&partnerID=40&md5=5f4b7619fa4cb018023c14b6e1639995",Review,Final,,Scopus,2-s2.0-85021304346
"Whang, T., Lammbrau, M., Joo, H.-M.","36197533600; 57195517583; 35731943600","Talking to Whom? The Changing Audience of North Korean Nuclear Tests",2017,"Social Science Quarterly",98,"3",,976,992,,,10.1111/ssqu.12441,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028570962&partnerID=40&md5=19f8e40ce611cc5148425e1af01068e8",Article,Final,,Scopus,2-s2.0-85028570962
"Viana-Ferreira, C., Guerra, A., Silva, J.F., Matos, S., Costa, C.","55209858100; 57195311622; 57200185667; 26031510200; 7201473619","An Intelligent Cloud Storage Gateway for Medical Imaging",2017,"Journal of Medical Systems",41,"9", 141,,,,1,10.1007/s10916-017-0790-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027055714&partnerID=40&md5=95858be45dba034ab3f1e4b8545517d1",Article,Final,,Scopus,2-s2.0-85027055714
"Jiang, Q., Jin, X., Lee, S.-J., Yao, S.","57194699462; 56991832300; 34877262700; 24473851600","Protein secondary structure prediction: A survey of the state of the art",2017,"Journal of Molecular Graphics and Modelling",76,"",,379,402,,11,10.1016/j.jmgm.2017.07.015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85026429802&partnerID=40&md5=1084b677d0a23bd3441eb27d1831a858",Short Survey,Final,,Scopus,2-s2.0-85026429802
[No author name available],[No author name available],"Correction: Smartphone dependence classification using tensor factorization (PLoS ONE (2017) 12:6 (e0177629) DOI: 10.1371/journal.pone.0177629)",2017,"PLoS ONE",12,"9", e0185506,,,,,10.1371/journal.pone.0185506,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029869663&partnerID=40&md5=60676d30d0e3a7c1363e80719f89f29d",Erratum,Final,Open Access,Scopus,2-s2.0-85029869663
"Bhatia, M., Rai, M.K.","56883903000; 57197704183","Identifying P2P traffic: A survey",2017,"Peer-to-Peer Networking and Applications",10,"5",,1182,1203,,4,10.1007/s12083-016-0471-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84975165519&partnerID=40&md5=9ceba0dceff7a0a4114f6d507722a9d9",Article,Final,,Scopus,2-s2.0-84975165519
"Zadorojniy, A., Wasserkrug, S., Zeltyn, S., Lipets, V.","12808566700; 10739803000; 56000042400; 36980133300","IBM cognitive technology helps Aqualia to reduce costs and save resources in wastewater treatment",2017,"Interfaces",47,"5",,411,424,,2,10.1287/inte.2017.0907,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85030996556&partnerID=40&md5=cf3eefa8b08c5f5b3b828d94d204ecee",Article,Final,,Scopus,2-s2.0-85030996556
"Cai, Y., Gu, H., Kenney, T.","57201853164; 57201853994; 15136300000","Learning Microbial Community Structures with Supervised and Unsupervised Non-negative Matrix Factorization",2017,"Microbiome",5,"1",,110,,,3,10.1186/s40168-017-0323-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85046294667&partnerID=40&md5=2a1bf8d1484f32fe34ae4838b5889ca3",Article,Final,Open Access,Scopus,2-s2.0-85046294667
"Liu, Y., Jiao, Y., Wang, H.","57195756541; 57195756502; 54796067400","Chaotic prediction of network traffic based on improved extreme learning machine",2017,"Nanjing Li Gong Daxue Xuebao/Journal of Nanjing University of Science and Technology",41,"4",,454,459,,,10.14177/j.cnki.32-1397n.2017.41.04.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029760438&partnerID=40&md5=2dd20d1cef377383e04e2f66e8b49da8",Article,Final,,Scopus,2-s2.0-85029760438
"Rensi, S.E., Altman, R.B.","56582343600; 7202798518","Shallow Representation Learning via Kernel PCA Improves QSAR Modelability",2017,"Journal of Chemical Information and Modeling",57,"8",,1859,1867,,3,10.1021/acs.jcim.6b00694,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028563121&partnerID=40&md5=b683b07063fc06d2fc0fd424828877c4",Article,Final,,Scopus,2-s2.0-85028563121
[No author name available],[No author name available],"2017 2nd International Multidisciplinary Conference on Computer and Energy Science, SpliTech 2017",2017,"2017 2nd International Multidisciplinary Conference on Computer and Energy Science, SpliTech 2017",,"",,,,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85030871471&partnerID=40&md5=b3cf8113b7f2909d7cd3b17e3c1f304b",Conference Review,Final,,Scopus,2-s2.0-85030871471
"Shkurin, A., Vellido, A.","56910009600; 6602481203","Using random forests for assistance in the curation of G-protein coupled receptor databases",2017,"BioMedical Engineering Online",16,"", 75,,,,2,10.1186/s12938-017-0357-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027698382&partnerID=40&md5=f1b9899e601b0aeed568ccea65d23142",Article,Final,Open Access,Scopus,2-s2.0-85027698382
[No author name available],[No author name available],"Proceeding - 2017 3rd International Conference on Science and Technology-Computer, ICST 2017",2017,"Proceeding - 2017 3rd International Conference on Science and Technology-Computer, ICST 2017",,"",,,,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029312326&partnerID=40&md5=513e152d3404fd24ee21fa887ad890d7",Conference Review,Final,,Scopus,2-s2.0-85029312326
"Blei, D.M., Smyth, P.","55914504500; 7006933675","Science and data science",2017,"Proceedings of the National Academy of Sciences of the United States of America",114,"33",,8689,8692,,18,10.1073/pnas.1702076114,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027406881&partnerID=40&md5=865ff02dce5468a534ef36d72f001b0f",Review,Final,Open Access,Scopus,2-s2.0-85027406881
"Valleron, A.-J.","7004672683","Data Science Priorities for a University Hospital-Based Institute of Infectious Diseases: A Viewpoint",2017,"Clinical Infectious Diseases",65,"",,S84,S88,,,10.1093/cid/cix351,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85026889764&partnerID=40&md5=fd182efd89b2aeb13a93cd95bcb185b0",Article,Final,Open Access,Scopus,2-s2.0-85026889764
"Karpatne, A., Kumar, V.","37124022100; 35446475800","Big data in climate: Opportunities and challenges for machine learning",2017,"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining",Part F129685,"",,21,22,,3,10.1145/3097983.3105810,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029026058&partnerID=40&md5=0651def40f4862f733b2d9fb482c925a",Conference Paper,Final,,Scopus,2-s2.0-85029026058
"Fayyad, U.M., Candel, A., De La Rubia, E.A., Pafka, S., Chong, A., Lee, J.-Y.","6603722119; 57195595456; 57195600849; 57195601064; 57195599654; 57195602756","Benchmarks and process management in data science: Will we ever get over the mess?",2017,"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining",Part F129685,"",,31,32,,1,10.1145/3097983.3120998,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029030495&partnerID=40&md5=6eb4e7d752a2432c0e71c3c7f2595637",Conference Paper,Final,,Scopus,2-s2.0-85029030495
"Chojnacki, A., Dai, C., Farahi, A., Shi, G., Webb, J., Zhang, D.T., Abernethy, J., Schwartz, E.","57195600247; 57195595055; 55596567900; 57195602633; 57195601146; 57195600614; 22978496100; 56869546200","A data science approach to understanding residential water contamination in flint",2017,"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining",Part F129685,"",,1407,1416,,4,10.1145/3097983.3098078,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029113991&partnerID=40&md5=9a5245c49c3d743c4404b8cc819b6116",Conference Paper,Final,,Scopus,2-s2.0-85029113991
[No author name available],[No author name available],"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining",2017,"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining",Part F129685,"",,,,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029106802&partnerID=40&md5=d50af4bb5fec63eb133dc3a8addc3e67",Conference Review,Final,,Scopus,2-s2.0-85029106802
"Ito, S., Fujimaki, R.","57193418412; 56023161800","Optimization beyond prediction: Prescriptive price optimization",2017,"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining",Part F129685,"",,1833,1841,,10,10.1145/3097983.3098188,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029057427&partnerID=40&md5=2eaf083902706455b90bed862eb9dfea",Conference Paper,Final,,Scopus,2-s2.0-85029057427
"Zhang, K., Liu, C., Zhang, J., Xiong, H., Xing, E., Ye, J.","55619308777; 50161977300; 55172145500; 7201935465; 57203079532; 7403237682","Randomization or condensation? Linear-cost matrix sketching via cascaded compression sampling",2017,"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining",Part F129685,"",,615,623,,1,10.1145/3097983.3098050,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029091540&partnerID=40&md5=dedc3b6c4a2c9cd35e2ed1ba030e6d29",Conference Paper,Final,,Scopus,2-s2.0-85029091540
"Paul, D., Li, F., Teja, M.K., Yu, X., Frost, R.","57204671161; 8918895500; 57195601290; 57207914330; 57195595617","Compass: Spatio temporal sentiment analysis of US election what twitter says!",2017,"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining",Part F129685,"",,1585,1594,,10,10.1145/3097983.3098053,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029118806&partnerID=40&md5=a8d52d0067549b4e0eda641dbaf88571",Conference Paper,Final,,Scopus,2-s2.0-85029118806
"Paschek, D., Luminosu, C.T., Draghici, A.","57192578048; 57195484007; 6701572869","Automated business process management-in times of digital transformation using machine learning or artificial intelligence",2017,"MATEC Web of Conferences",121,"", 04007,,,,4,10.1051/matecconf/201712104007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028406180&partnerID=40&md5=eba93f7d34792f0450ef6e83489e8ed0",Conference Paper,Final,Open Access,Scopus,2-s2.0-85028406180
"Golinko, E., Sonderman, T., Zhu, X.","57197733515; 7801658074; 8393069200","CNFL: Categorical to Numerical Feature Learning for Clustering and Classification",2017,"Proceedings - 2017 IEEE 2nd International Conference on Data Science in Cyberspace, DSC 2017",,"", 8005535,585,594,,,10.1109/DSC.2017.87,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85034213931&partnerID=40&md5=a426a06b06f08db0008c57d01b45314a",Conference Paper,Final,,Scopus,2-s2.0-85034213931
"Lötsch, J., Lippmann, C., Kringel, D., Ultsch, A.","7004589758; 56946524000; 56584751700; 55915441200","Integrated computational analysis of genes associated with human hereditary insensitivity to pain. A drug repurposing perspective",2017,"Frontiers in Molecular Neuroscience",10,"", 252,,,,7,10.3389/fnmol.2017.00252,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027873297&partnerID=40&md5=a169604a3d8485eb8eb3e971198d419d",Article,Final,Open Access,Scopus,2-s2.0-85027873297
"Kolasa, M., Talaśka, T., Długosz, R.","25649749200; 23006427300; 23394731700","A serial distance calculation circuit for the application in artificial neural networks and pattern recognition",2017,"Proceedings of the 24th International Conference on Mixed Design of Integrated Circuits and Systems, MIXDES 2017",,"", 8005263,501,504,,,10.23919/MIXDES.2017.8005263,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85030245918&partnerID=40&md5=a777bd383b2846511ab3d4f52e6f3f8f",Conference Paper,Final,,Scopus,2-s2.0-85030245918
"Farrell, S., Anderson, D., Calafiura, P., Cerati, G., Gray, L., Kowalkowski, J., Mudigonda, M., Prabhat, Spentzouris, P., Spiropoulou, M., Tsaris, A., Vlimant, J.-R., Zheng, S.","8605233900; 56479648300; 57203175803; 25935901700; 35313869800; 6507972977; 15923368600; 14619498500; 8046965500; 36115275500; 57008293500; 35228082300; 57191073460","The HEP.TrkX Project: Deep neural networks for HL-LHC online and offline tracking",2017,"EPJ Web of Conferences",150,"", 00003,,,,4,10.1051/epjconf/201715000003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028397447&partnerID=40&md5=825c55669b033555de1d1b0b31a96378",Conference Paper,Final,Open Access,Scopus,2-s2.0-85028397447
"Guy, I., Radinsky, K.","23103098100; 26422389900","Structuring the Unstructured: From Startup to Making Sense of eBay's Huge eCommerce Inventory",2017,"SIGIR 2017 - Proceedings of the 40th International ACM SIGIR Conference on Research and Development in Information Retrieval",,"",,1351,,,,10.1145/3077136.3096469,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029387467&partnerID=40&md5=7fd132f36390e697fdf5d93ea2a312f8",Conference Paper,Final,,Scopus,2-s2.0-85029387467
"Nedelkoski, S., Stojanovski, G.","57195837657; 36728495900","Machine learning for large scale manufacturing data with limited information",2017,"IEEE International Conference on Control and Automation, ICCA",,"", 8003037,70,75,,,10.1109/ICCA.2017.8003037,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029901608&partnerID=40&md5=52f46f60d7df6ff009ac01769148c02c",Conference Paper,Final,,Scopus,2-s2.0-85029901608
"Heidegger, T., Hansen-Goos, O., Batlaeva, O., Annak, O., Ziemann, U., Lötsch, J.","24381509800; 56665423800; 57195403199; 57195413561; 56030522100; 7004589758","A data-driven approach to responder subgroup identification after paired continuous theta burst stimulation",2017,"Frontiers in Human Neuroscience",11,"", 382,,,,2,10.3389/fnhum.2017.00382,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027881438&partnerID=40&md5=36ce3eec8b62d95646df2cc23a4f7569",Article,Final,Open Access,Scopus,2-s2.0-85027881438
"Barnes, J., Eddy, W.","57191973378; 7003635726","Machine learning for space communications service management tasks",2017,"2017 Cognitive Communications for Aerospace Applications Workshop, CCAA 2017",,"", 8001612,,,,,10.1109/CCAAW.2017.8001612,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85030261819&partnerID=40&md5=addfd79e612e1c28e3403240e64d99bd",Conference Paper,Final,,Scopus,2-s2.0-85030261819
"Abdar, M., Yen, N.Y.","56966568800; 57209491931","Design of A Universal User Model for Dynamic Crowd Preference Sensing and Decision-Making Behavior Analysis",2017,"IEEE Access",5,"", 8000574,24842,24852,,8,10.1109/ACCESS.2017.2735242,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027834600&partnerID=40&md5=a4c264589ddc57eea7c9f537cfbfb2cd",Article,Final,Open Access,Scopus,2-s2.0-85027834600
"Kohli, M.D., Summers, R.M., Geis, J.R.","24338219900; 57200247340; 6602850280","Medical Image Data and Datasets in the Era of Machine Learning—Whitepaper from the 2016 C-MIMI Meeting Dataset Session",2017,"Journal of Digital Imaging",30,"4",,392,399,,18,10.1007/s10278-017-9976-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019657791&partnerID=40&md5=0e6e1a854c63fda3cffb78a857161e2b",Article,Final,Open Access,Scopus,2-s2.0-85019657791
"Ouyang, J., Zhou, Y., Tang, H.","7102678980; 57196124033; 15122875300","A Meteorological Predication Model Based on Storm and Online Sequential Extreme Learning Machine",2017,"Jisuanji Yanjiu yu Fazhan/Computer Research and Development",54,"8",,1736,1743,,,10.7544/issn1000-1239.2017.20170213,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85031934573&partnerID=40&md5=31eb2c4c8683585d8a1d18c0c7624e3a",Article,Final,,Scopus,2-s2.0-85031934573
"Liu, Y., Zhang, L., Deng, P., He, Z.","56856516500; 55648142400; 57193554054; 57193330822","Common Subspace Learning via Cross-Domain Extreme Learning Machine",2017,"Cognitive Computation",9,"4",,555,563,,8,10.1007/s12559-017-9473-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85018780974&partnerID=40&md5=8af98aa1912cc6e82456c72b886d005d",Article,Final,,Scopus,2-s2.0-85018780974
"Lee, J.-H., Lee, S.H., Baek, C., Chun, H., Ryu, J.-H., Kim, J.-W., Deaton, R., Zhang, B.-T.","55941961000; 55871551400; 57208020401; 57194398832; 57194391453; 55907824700; 57206296348; 55765845700","In vitro molecular machine learning algorithm via symmetric internal loops of DNA",2017,"BioSystems",158,"",,1,9,,1,10.1016/j.biosystems.2017.04.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019888478&partnerID=40&md5=c547568884a7548f7a206e3d8aeeaca2",Article,Final,,Scopus,2-s2.0-85019888478
"Spanakis, G., Weiss, G., Boh, B., Lemmens, L., Roefs, A.","35749092700; 57209289279; 44160910800; 42961836600; 6602902409","Machine learning techniques in eating behavior e-coaching: Balancing between generalization and personalization",2017,"Personal and Ubiquitous Computing",21,"4",,645,659,,3,10.1007/s00779-017-1022-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85020463919&partnerID=40&md5=7362d1b3b221e11a798fdcfe9a2a6ea8",Article,Final,Open Access,Scopus,2-s2.0-85020463919
"Wang, S.-F., Du, K.-Y., Meng, Y., Wang, R.","55204887800; 57196064829; 57196073956; 57196065955","Machine Learning-based Road Terrain Recognition for Land Vehicles",2017,"Binggong Xuebao/Acta Armamentarii",38,"8",,1642,1648,,,10.3969/j.issn.1000-1093.2017.08.023,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85031667492&partnerID=40&md5=d9d2bd77c7a5c746dea6bfd439a3468e",Article,Final,,Scopus,2-s2.0-85031667492
"Katsura, Y., Kumagai, M., Gunji, S., Imai, Y., Kimura, K.","8616548800; 56338109400; 57195578861; 56939753900; 7404821035","Development of ""Starry data"" web system for data curation of published experimental thermoelectric properties",2017,"Funtai Oyobi Fummatsu Yakin/Journal of the Japan Society of Powder and Powder Metallurgy",64,"8",,467,470,,1,10.2497/jjspm.64.467,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028920848&partnerID=40&md5=2309155c1edf172677c44b6548ede27a",Article,Final,Open Access,Scopus,2-s2.0-85028920848
"Bordoloi, D.J., Tiwari, R.","55928662200; 56250068300","Identification of suction flow blockages and casing cavitations in centrifugal pumps by optimal support vector machine techniques",2017,"Journal of the Brazilian Society of Mechanical Sciences and Engineering",39,"8",,2957,2968,,8,10.1007/s40430-017-0714-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85024366672&partnerID=40&md5=5bc5d49f6f07de5fb108cca3ab2d8579",Article,Final,,Scopus,2-s2.0-85024366672
"Gao, X., Sun, Q., Xu, H.","56263353500; 55898846000; 56263921200","Multiple Instance Learning via Semi-supervised Laplacian TSVM",2017,"Neural Processing Letters",46,"1",,219,232,,1,10.1007/s11063-017-9579-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85009851942&partnerID=40&md5=f701367126a1d6b6b01c7c91af565baf",Article,Final,,Scopus,2-s2.0-85009851942
"Wang, S.-J., Chen, N.","57196046345; 57061407700","Annotating Music with Hybrid Discriminative Restricted Boltzmann Machines",2017,"Huadong Ligong Daxue Xuebao/Journal of East China University of Science and Technology",43,"4",,540,545,,,10.14135/j.cnki.1006-3080.2017.04.013,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85031330328&partnerID=40&md5=eadc327fcc1cfa8adcadd520c1267c91",Article,Final,,Scopus,2-s2.0-85031330328
"Olier, J.S., Barakova, E., Regazzoni, C., Rauterberg, M.","56728417800; 35614959800; 35513672400; 6701479494","Re-framing the characteristics of concepts and their relation to learning and cognition in artificial agents",2017,"Cognitive Systems Research",44,"",,50,68,,7,10.1016/j.cogsys.2017.03.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85017450328&partnerID=40&md5=6759247302e39672b7be0af1588f9fd8",Article,Final,,Scopus,2-s2.0-85017450328
"Mukhtar, N., Khan, M.A., Chiragh, N.","56028876200; 24776269100; 57194323395","Effective Use of Evaluation Measures for the Validation of Best Classifier in Urdu Sentiment Analysis",2017,"Cognitive Computation",9,"4",,446,456,,7,10.1007/s12559-017-9481-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019694555&partnerID=40&md5=e7e3ae50759b26c83dc0d6f44040dd73",Article,Final,,Scopus,2-s2.0-85019694555
"Anda, C., Erath, A., Fourie, P.J.","57193203486; 24921169400; 57190003170","Transport modelling in the age of big data",2017,"International Journal of Urban Sciences",21,"",,19,42,,16,10.1080/12265934.2017.1281150,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85011573169&partnerID=40&md5=3cbe31990ac2bda4a186c1dbd0c8320f",Article,Final,,Scopus,2-s2.0-85011573169
"Murphy, S., Castro, V., Mandl, K.","7402778470; 36239799100; 7003721828","Grappling with the Future Use of Big Data for Translational Medicine and Clinical Care",2017,"Yearbook of medical informatics",26,"1",,96,102,,3,10.15265/IY-2017-020,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85042656222&partnerID=40&md5=9de1be5b5e58a0f6fc48242590b615d4",Article,Final,Open Access,Scopus,2-s2.0-85042656222
"Li, J.","55900081000","A synthetic research on the multimedia data encryption based mobile computing security enhancement model and multi-channel mobile human computer interaction framework",2017,"Multimedia Tools and Applications",76,"16",,16963,16987,,4,10.1007/s11042-016-3662-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84976303093&partnerID=40&md5=8ca50cb00fd429c90e47a8e3d44eac7a",Article,Final,,Scopus,2-s2.0-84976303093
"Zhu, Y., Zhang, X., Wen, G., He, W., Cheng, D.","56674877400; 37001218400; 57192091370; 57190393769; 56449995700","Double sparse-representation feature selection algorithm for classification",2017,"Multimedia Tools and Applications",76,"16",,17525,17539,,1,10.1007/s11042-016-4121-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85006094493&partnerID=40&md5=a2493a9b2e746b130d2ae57ba2576343",Article,Final,,Scopus,2-s2.0-85006094493
"Ding, C., Hu, Z., Karmoshi, S., Zhu, M.","56442012300; 57206648895; 56816977500; 9238980500","A Novel Two-stage Learning Pipeline for Deep Neural Networks",2017,"Neural Processing Letters",46,"1",,159,169,,1,10.1007/s11063-017-9578-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85009841531&partnerID=40&md5=e80869ce3bb09d23105513397fbdbf3e",Article,Final,,Scopus,2-s2.0-85009841531
"WANG, W., JIANG, H., LIU, G.-H., MEI, C.-L., JI, Y.","57196099065; 55507664100; 8369496400; 15056196000; 57198491556","Qualitative Prediction of Yeast Growth Process Based on Near Infrared Spectroscopy",2017,"Chinese Journal of Analytical Chemistry",45,"8",,1137,1141,,2,10.1016/S1872-2040(17)61030-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85036634914&partnerID=40&md5=45e79c3755844a175ff17f19d4721aac",Article,Final,,Scopus,2-s2.0-85036634914
"Sarkar, S., Venugopalan, V., Reddy, K., Ryde, J., Jaitly, N., Giering, M.","55066244300; 56544174600; 55443153000; 9235779200; 12799167600; 56464245300","Deep Learning for Automated Occlusion Edge Detection in RGB-D Frames",2017,"Journal of Signal Processing Systems",88,"2",,205,217,,9,10.1007/s11265-016-1209-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85001736092&partnerID=40&md5=a3a12afa7286aeb270fb4a2465ab486b",Article,Final,,Scopus,2-s2.0-85001736092
"Celis, L.E., Deshpande, A., Kathuria, T., Straszak, D., Vishnoi, N.K.","36052214800; 8405535500; 57194207295; 56024666500; 13607606100","On the complexity of constrained determinantal point processes",2017,"Leibniz International Proceedings in Informatics, LIPIcs",81,"", 36,,,,3,10.4230/LIPIcs.APPROX/RANDOM.2017.36,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028730054&partnerID=40&md5=6d5ade9aca1c9e5b626939da964f4b33",Conference Paper,Final,,Scopus,2-s2.0-85028730054
"Su, S., Guo, H., Tian, H., Wu, G.","23390811700; 57206166154; 57193671893; 57193674565","A Novel Pattern Clustering Algorithm Based on Particle Swarm Optimization Joint Adaptive Wavelet Neural Network Model",2017,"Mobile Networks and Applications",22,"4",,692,701,,,10.1007/s11036-017-0847-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85015644636&partnerID=40&md5=c382e84f53b4ceb56ac1e10850ba8c35",Article,Final,,Scopus,2-s2.0-85015644636
